reference_id	ref_gene_id	ref_gene_name	SRR2753092	SRR2753098	SRR2753106	SRR2753116
ENST00000464513.2	ENSG00000184139.8	RPL7AP28	0.477234	0	5.258236	1.210771
ENST00000459634.1	ENSG00000241411.1	RP11-192C21.1	4.078907	0.334399	0	8.407775
ENST00000509116.1	ENSG00000250144.1	RP11-553P9.1	7.879717	0.282268	0.259671	4.251152
ENST00000505638.2	ENSG00000249311.4	TERF1P3	0.067896	0.338834	0.114363	0.462581
ENST00000463671.1	ENSG00000213448.3	RPS23P2	5.338781	0.464562	0.631174	4.635596
ENST00000506991.1	ENSG00000248305.1	RP11-310A13.2	0.12211	0	0	0
ENST00000502915.1	ENSG00000248795.1	RP11-173E2.1	4.907251	1.076293	0.453388	1.160815
ENST00000476715.2	ENSG00000241923.2	RPL14P3	15.195055	0.317957	0.284257	18.282669
ENST00000502875.1	ENSG00000249661.1	TNRC18P1	0.028366	0.025217	0	0
ENST00000280614.4	ENSG00000151014.6	NOCT	2.206079	1.631521	0	1.822323
ENST00000515616.1	ENSG00000151014.6	NOCT	0.775488	1.132667	6.707927	2.403952
ENST00000510408.5	ENSG00000109381.20	ELF2	12.125761	5.562355	7.703937	3.343243
ENST00000512627.1	ENSG00000109381.20	ELF2	0.007213	0.029295	0.020766	0.352588
ENST00000514577.5	ENSG00000109381.20	ELF2	0.157336	0.413175	0.329863	0.42746
ENST00000504314.1	ENSG00000109381.20	ELF2	0.496233	0.392545	0.427363	1.111659
ENST00000514606.1	ENSG00000109381.20	ELF2	1.164962	3.601735	1.566388	1.111195
ENST00000509033.1	ENSG00000179967.11	PPP1R14BP3	1.700553	4.686016	1.524111	4.132941
ENST00000615106.1	ENSG00000276396.1	Metazoa_SRP	0.088644	0.775262	0.362021	0.902352
ENST00000363650.1	ENSG00000200520.1	RNU6-1214P	1.418208	0.815906	2.171365	1.441513
ENST00000480277.2	ENSG00000164134.13	NAA15	0.173036	0.391866	0.547126	24.932868
ENST00000496716.1	ENSG00000164134.13	NAA15	1.858514	1.914246	1.424089	1.052065
ENST00000485905.2	ENSG00000164134.13	NAA15	1.259937	0.521604	0.399969	0.594549
ENST00000602907.1	ENSG00000248863.2	RP11-83A24.1	1.596653	1.722271	0.424113	1.411106
ENST00000459613.1	ENSG00000239005.1	ENSG10010136290.1	0.203811	0	0	0.228407
ENST00000610159.1	ENSG00000273247.5	RAB33B-AS1	1.059761	2.473198	1.514777	1.54356
